Country,population 2025 du pays,Ethnicity_or_Subgroup,pourcentage dans la population du pays,population de l’ethnie estimée dans le pays,pourcentage dans la population totale d’Afrique
Sénégal,18931966,Mandinka,4.9,927666.0,0.0607
Sénégal,18931966,Jola,4.2,795143.0,0.052029
Sénégal,18931966,Soninké,2.4,454367.0,0.029731
Sénégal,18931966,Autres,5.4,1022326.0,0.066894
Sierra Leone,8819794,Temne,35.4,3122207.0,0.204296
Sierra Leone,8819794,Mende,30.8,2716497.0,0.177749
Sierra Leone,8819794,Limba,8.8,776142.0,0.050786
Sierra Leone,8819794,Kono,4.3,379251.0,0.024816
Sierra Leone,8819794,Koranko,4.0,352792.0,0.023084
Sierra Leone,8819794,Fula,3.8,335152.0,0.02193
Sierra Leone,8819794,Mandingo,2.8,246954.0,0.016159
Sierra Leone,8819794,Loko,2.0,176396.0,0.011542
Sierra Leone,8819794,Sherbro,1.9,167576.0,0.010965
Sierra Leone,8819794,Krio (Créoles),1.2,105838.0,0.006925
Sierra Leone,8819794,Autres,5.0,440990.0,0.028855
Togo,9721608,Ewe,32.0,3110915.0,0.203558
Togo,9721608,Kabye,22.0,2138754.0,0.139946
Togo,9721608,Tem/Kotokoli & Tchamba,14.0,1361025.0,0.089056
Togo,9721608,Ouatchi,14.0,1361025.0,0.089056
Togo,9721608,Mina/Mossi/Moba/Bassar/Tchokossi (autres),8.0,777729.0,0.050889
Togo,9721608,Autres / non précisé,10.0,972161.0,0.063612
